"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT01"
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-13",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-14",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-15",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-16",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-17",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-21","    4","1.30",,,"0.6",,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-22",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-23",,,"0.20","0.3",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-24",,,"0.49","3.2",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-25",,,"0.03",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-26",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-27",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-28",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-29",,,"0.12","0.8",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-30",,,"0.03","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-31",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-01",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-02",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-03",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-04",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-05",,,"0.11",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-06",,,"0.37","3.5","3.5",,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-07",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-08",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-09",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-10",,,"0.22",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-11",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-12",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-13",,,"0.51","1.1",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-14",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-15",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-16",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-17",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-18",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-19",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-20",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-21",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-22",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-23",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-24",,,"0.59",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-25",,,"0.75",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-26",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-27",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-02-28",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-01",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-02",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-03",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-04",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-05",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-06",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-07",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-08",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-09",,,"0.37",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-10",,,"0.64",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-11",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-12",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-13",,,"0.16",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-17","    4","0.61",,,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-18",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-23","    5","0.90",,,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-25","    2","0.45",,,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-26",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-27",,,"0.02",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-28",,,"0.57",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-29",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-30",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-03-31",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-01",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-02",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-03",,,"0.05",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-04",,,"0.36",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-05",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-06",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-07",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-08",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-09",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-10",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-11",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-12",,,"0.36",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-13",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-14",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-15",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-16",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-17",,,"0.38",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-18",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-19",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-20",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-21",,,"0.00",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-22",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-23",,,"0.53",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-24",,,"0.07",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-27","    3","1.45",,,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-28",,,"0.02",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-29",,,"0.54",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-04-30",,,"0.12",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-01",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-02",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-03",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-04",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-05",,,"0.65",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-06",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-07",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-08",,,"0.32",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-09",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-10",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-11",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-12",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-13",,,"0.04",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-14",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-15",,,"0.52",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-16",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-17",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-18",,,"0.02",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-19",,,"0.03",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-20",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-21",,,"0.00",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-22",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-27","    5","0.71",,,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-28",,,"0.55",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-29",,,"0.65",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-30",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-05-31",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-01",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-02",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-03",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-04",,,"1.42",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-05",,,"0.08",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-06",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-07",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-08",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-09",,,"1.70",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-10",,,"0.86",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-11",,,"0.03",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-12",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-13",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-14",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-15",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-16",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-17",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-18",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-19",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-20",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-21",,,"0.10",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-22",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-23",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-24",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-25",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-26",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-27",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-28",,,"0.24",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-29",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-06-30",,,"0.02",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-01",,,"0.26",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-02",,,"0.46",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-03",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-04",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-05",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-06",,,"0.04",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-07",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-08",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-09",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-10",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-11",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-12",,,"0.10",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-13",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-14",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-15",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-16",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-17",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-18",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-19",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-20",,,"1.06",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-21",,,"0.57",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-22",,,"0.80",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-23",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-24",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-25",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-26",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-27",,,"0.03",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-28",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-29",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-30",,,"0.75",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-07-31",,,"1.66",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-01",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-02",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-03",,,"0.15",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-04",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-05",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-06",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-07",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-08",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-09",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-10",,,"0.05",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-11",,,"0.32",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-12",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-13",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-14",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-15",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-16",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-17",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-18",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-19",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-20",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-21",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-22",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-23",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-24",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-25",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-26",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-27",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-28",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-29",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-30",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-08-31",,,"0.66",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-09-01",,,"1.64",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-09-02",,,"0.54",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-09-03",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-09-04",,,"0.00","0.0",,,,,,,
